# CONVERGE Release Build 2.4.21/  Sep 13, 2018       Run Date:Sat Apr  1 22:40:33 2023
# column        1                2                3                4                5                6                7                8                9               10               11               12               13               14               15               16               17               18               19               20               21               22               23               24               25               26               27               28               29               30               31               32               33               34               35               36               37               38               39               40               41               42               43               44               45               46               47               48               49               50               51               52               53               54               55               56               57               58               59               60               61               62               63               64               65               66               67               68               69               70               71
#            Time               HE               AR               O2               N2              CO2              H2O               CO               H2               OH             H2O2              HO2                H                O              CH4             CH3O             CH2O              HCO              CH3            CH2OH            CH3OH           CH3CHO             C2H2            CH2CO             C2H3             C2H4             C2H5             HCCO           CH2CHO            CH3CO             C2H6             C3H4             C3H5             C3H6             C3H7             C7H8          C6H5CH2          C6H5CHO           C6H5CO             C6H5            C6H5O             C6H6           C6H5OH             C5H5            C5H4O           C5H4OH            C7H14             MCHR           MCH2OO           MCHOOH         MOOCHOOH           MOOCHO            C7H13             C4H6          C5H11CO           IC8H18            C8H17          C8H17OO         C8H16OOH       OOC8H16OOH            C8KET          C6H13CO            C8H16           C10H22           C10H21         C10H21OO        C10H20OOH      OOC10H20OOH           C10KET           C10H20          C8H17CO
#       (seconds)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)
#
    2.3800553e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    2.8163851e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.3880466e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    2.0115458e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.3960319e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5424683e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.4040276e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.4465872e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.4120592e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.4672713e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.4200079e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5185335e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.4280014e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.5704991e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.4360289e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6007151e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.4440145e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6350691e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.4520522e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.6792872e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.4600225e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.7193711e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.4680125e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.7534852e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.4760317e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.7850832e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.4840432e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.8137022e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.4920331e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.8239597e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.5000481e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.8232482e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.5080481e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.8121690e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.5160393e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.7942306e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.5240610e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.7701668e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
    2.5320644e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    1.7438727e-05    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
